ResNet-50,,,,,,,,
id,name,IC,H/W,OC,KH/KW,Pad,Stride,gpu
conv0,res2a_branch2a,3,224,64,7,3,2,0.29302924
conv1,res2a_branch2a,64,56,64,1,0,1,0.048839940000000005
conv2,res2a_branch2b,64,56,64,3,1,1,0.18214522
conv3,res2a_branch2c,64,56,256,1,0,1,0.13936164
conv4,res2b_branch2a,256,56,64,1,0,1,0.15104740000000003
conv5,res3a_branch2a,256,56,128,1,0,1,0.25123697
conv_,res3a_branch2a,128,56,128,3,1,2,0.32740485999999996
conv7,res3a_branch2c,128,28,512,1,0,1,0.13365025
conv8,res3a_branch1,256,56,512,1,0,2,0.6436378199999999
conv9,res3b_branch2a,512,28,128,1,0,1,0.14370672
conv6,res3a_branch2b,128,28,128,3,1,1,0.17181756999999998
conv10,res4a_branch2a,512,28,256,1,0,1,0.21505985000000002
conv__,res4a_branch2a,256,28,256,3,1,2,0.35685820000000007
conv12,res4a_branch2c,256,14,1024,1,0,1,0.13038587
conv13,res4a_branch1,512,28,1024,1,0,2,0.48868026
conv14,res4b_branch2a,1024,14,256,1,0,1,0.20107516
conv11,res4a_branch2b,256,14,256,3,1,1,0.15063552999999996
conv15,res5a_branch2a,1024,14,512,1,0,1,0.27491764
conv__,res5a_branch2a,512,14,512,3,1,2,0.5192479200000001
conv17,res5a_branch2c,512,7,2048,1,0,1,0.17290581
conv18,res5a_branch1,1024,14,2048,1,0,2,0.41896623999999993
conv19,res5b_branch2a,2048,7,512,1,0,1,0.24895627000000004
conv16,res5a_branch2b,512,7,512,3,1,1,0.16511152999999998
