ResNet-50,,,,,,,,
id,name,IC,H/W,OC,KH/KW,Pad,Stride,x86-avx2
conv0,res2a_branch2a,3,224,64,7,3,2,6.012467970000001
conv1,res2a_branch2a,64,56,64,1,0,1,1.15453901
conv2,res2a_branch2b,64,56,64,3,1,1,4.579416810000001
conv3,res2a_branch2c,64,56,256,1,0,1,4.22270867
conv4,res2b_branch2a,256,56,64,1,0,1,2.8795716300000005
conv5,res3a_branch2a,256,56,128,1,0,1,5.360505819999999
conv_,res3a_branch2a,128,56,128,3,1,2,5.1101451
conv7,res3a_branch2c,128,28,512,1,0,1,2.4312893499999997
conv8,res3a_branch1,256,56,512,1,0,2,5.07269209
conv9,res3b_branch2a,512,28,128,1,0,1,2.4878448
conv6,res3a_branch2b,128,28,128,3,1,1,4.33885903
conv10,res4a_branch2a,512,28,256,1,0,1,4.71596132
conv__,res4a_branch2a,256,28,256,3,1,2,5.56829559
conv12,res4a_branch2c,256,14,1024,1,0,1,3.3357723199999993
conv13,res4a_branch1,512,28,1024,1,0,2,6.425594589999999
conv14,res4b_branch2a,1024,14,256,1,0,1,3.1188435499999994
conv11,res4a_branch2b,256,14,256,3,1,1,4.89261941
conv15,res5a_branch2a,1024,14,512,1,0,1,8.660413510000001
conv__,res5a_branch2a,512,14,512,3,1,2,5.2023413000000005
conv17,res5a_branch2c,512,7,2048,1,0,1,1.9644567300000002
conv18,res5a_branch1,1024,14,2048,1,0,2,5.62489286
conv19,res5b_branch2a,2048,7,512,1,0,1,2.86859884
conv16,res5a_branch2b,512,7,512,3,1,1,4.74843326
